질병명,상세 정보
1형 신경섬유종증 - 폰렉클링하우젠병 (소아청소년과),이 질환은 진행성 질환이므로 시간이 지남에 따라 증상이 악화될 가능성이 매우 높습니다. 아이를 갖고 싶은데 부모나 가족구성원 중 한 명이 이 질환을 앓고 있다면 유전학 전문가에게 진찰을 받는 것이 좋습니다.
1형 양극성장애,양극성 장애는 행복하고 매우 활력이 넘치는 상태(조증)와 슬프고 기운이 없는 상태(우울증)가 과장된 방식으로 번갈아 나타나는 심각한 정신 질환입니다.
1형 양극성장애,"이러한 질환은 주기적으로 반복되며, 주기 사이의 기분이 정상적인 것으로 간주됩니다."
1형 양극성장애,"원인은 밝혀지지 않았지만 일부 연구에서는 유전적 요인이, 다른 연구에서는 뇌 기능 이상이 원인으로 지목되고 있습니다."
1형 양극성장애,"우울한 상태에 나타나는 증상으로는 자존감 상실, 낙담, 피로감, 무기력, 불면증, 집중력 저하, 식욕부진, 죽음에 대한 비정상적인 생각, 자살 충동 등이 있습니다. 조증 상태의 경우에는 이상행복감, 높은 자존감, 과대망상, 특별한 능력에 대한 잘못된 믿음, 빠른 사고, 사고 비약, 초조, 수면을 거의 필요로 하지 않음, 비자발적 체중 증가, 무책임한 행동, 과민성, 적대감, 성행위 증가, 즐거움을 주는 위험한 활동 수행, 환각 등의 상태를 경험하게 됩니다."
1형 양극성장애,진단을 내리기 위해서는 환자와 환자의 가족에게 질문을 해볼 필요가 있습니다. 정신 질환의 진단 및 통계 편람(DSM-V)에 명시된 기준을 충족해야 하는 기준 목록이 있습니다.
1형 양극성장애,"완치할 수 없는 만성 질환이지만 적절한 치료를 통해 증상을 조절할 수 있습니다. 심리 치료와 약물(기분 안정제, 항경련제, 항정신병제, 항우울제, 벤조디아제핀 등)을 병행하여 치료할 수 있습니다."
2도 동상,2도 동상은 피부 표면과 그 아래 피하조직에 영향을 미치는 동상입니다.
2도 동상,동상은 신체의 조직과 피부가 차가운 온도에 장시간 노출될 때 발생합니다.
2도 동상,"2도 동상은 청회색을 띠는 진행성 세포 사멸(괴사)을 동반한 출혈성 보라색 물집, 감각 상실(조직이 ‘코르크 같은’ 상태), 찌르는 듯한 욱신거리는 급성 통증으로 나타납니다."
2도 동상,진단을 내리기 위해서는 병력을 자세히 확인하고 전체적인 신체 검진을 진행해야 합니다.
2도 동상,"치료는 먼저 따뜻한 곳으로 몸을 이동하고, 젖은 옷과 신발을 바로 벗기고, 담요나 이불 등으로 감싸 체온을 높여줍니다. 동상 부위를 38~42℃ 정도의 20~30분 따뜻한 물에 담급니다. 진통제, 항염증제, 항혈소판제, 항응고제를 사용하고 감염이 의심되는 경우 항생제를 투여하는 것을 기본으로 합니다. 심한 동상은 병원에서 치료하며, 치료는 추가적인 피부 손상을 막고, 해당 부위의 혈류를 회복하는 데 목적이 있습니다."
2도 화상,"화상은 열, 냉기, 전기, 광선, 방사선 또는 특정 화학물질과 같은 유해 물질에 접촉하거나 노출되어 피부가 손상된 것입니다. 화상의 정도는 화상을 입은 신체 부위와 피부에 도달한 깊이에 따라 결정됩니다."
2도 화상,"증상으로는 화상 수포, 통증, 종창, 흰색, 붉은색 또는 검은색으로 탄 피부 등이 있습니다. 머리, 얼굴, 목, 눈썹이나 코털에 화상을 입거나 입 및 입술 화상, 기침, 호흡곤란, 검은 반점이 있는 짙은 점액, 목소리 변화 등이 나타나면 기도 화상을 의심할 수 있습니다."
2도 화상,진단은 자세한 병력 확인 및 전체적인 신체 검사를 통해 이루어집니다.
2도 화상,"치료는 화상 종류에 따라 달라집니다. 경미한 화상은 해당 부위의 열기를 차가운 물로 식히고, 항염증제를 사용하여 통증을 잘 조절해야 하며, 최신 파상풍 예방접종 여부를 확인하고, 적절한 상처관리를 하며 감염 징후를 모니터링해야 합니다. 중증 화상의 경우 병원 치료가 필요하며, 의사의 판단에 따라 활력징후 관리, 기도 확보, 적절한 수분 공급 등의 조치를 취하며, 통증 조절, 위 보호, 최신 파상풍 예방 접종 여부 확인, 상처 국소 치료 등을 실시합니다."
2형 당뇨병,혈중 포도당 수치가 높을 때 발생하는 질환입니다. 인슐린에 대한 세포 저항성이 커지거나 인슐린 부족으로 인해 혈당 조절이 제대로 이루어지지 않는 질환입니다. 제2형 당뇨병은 전체 당뇨병의 90%를 차지합니다.
2형 당뇨병,"나이가 들수록 발병률이 높아지며 비만, 고혈압, 콜레스테롤 증가, 부족한 신체활동, 당뇨 가족력과 연관이 있습니다."
2형 당뇨병,"초기 단계에는 증상이 나타나지 않을 수 있습니다. 세포에 포도당이 부족하고 혈액에 포도당이 축적되어 배고픔과 갈증이 생기고 수분 섭취량이 늘어나 결과적으로 소변량이 증가하기 전까지는 특별한 증상을 느끼지 못 할 수 있습니다. 관련된 증상으로 피로, 체중 감소, 오심 및 구토, 쉽게 짜증을 내고, 흐릿한 시야 등의 증상이 동반될 수 있습니다."
2형 당뇨병,진단은 일반적으로 첫 증상이 나타나기 전까지는 혈액 검사 결과를 바탕으로 이루어집니다. 식사와 관계 없이 측정한 혈중 포도당 수치가 200mg/dl이 넘거나 공복 상태의 혈당 수치가 126mg/dl을 초과하는 경우 당뇨병으로 진단합니다.
2형 당뇨병,"치료는 체중 감량, 식사 조절, 규칙적인 운동과 같은 생활 습관 중재를 기반으로 이루어집니다. 높은 혈당 수치가 지속되면 경구 혈당강하제와 인슐린 주사를 사용하여 치료를 시작합니다."
2형 양극성장애,양극성 장애는 들뜨고 매우 활기찬 기분(조증)부터 슬프고 기운이 없는 기분(우울증)에 이르기까지 극심한 감정 변화가 번갈아 나타나는 심각한 정신질환입니다. 이러한 변화 사이에 감정이 안정되는 순간도 있을 수 있습니다.
2형 양극성장애,원인은 밝혀지지 않았지만 일부 연구에 따르면 유전적 소인이 있는 것으로 나타났습니다.
2형 양극성장애,"우울증에 걸렸을 때 나타나는 증상으로는 자존감 상실, 낙담, 피로감, 느림, 불면증, 집중력 저하, 식욕부진, 죽음에 대한 비정상적인 생각, 자살 충동 등이 있습니다. 경조증에 걸리면 행복감이나 과민성, 높은 자존감, 특별한 능력이 있다는 잘못된 믿음, 극적으로 빠른 사고, 수면 욕구 감소, 성 생활 증가 등을 경험하게 됩니다. 조증 증상은 있지만 개인의 행동에 영향을 미치지 않는 경우 경조증으로 판단합니다."
2형 양극성장애,다른 원인을 배제한 후 임상 질문과 전문의 평가를 통해 진단이 이루어집니다.
2형 양극성장애,치료는 심리 요법과 약물 요법을 결합하여 진행됩니다.
3급 및 4급 간성 뇌증,간성 뇌증은 간이 혈액 내 암모니아와 같은 독소를 제거하는 능력에 장애가 생겨 뇌 기능에 변화가 생기는 것을 말합니다.
3급 및 4급 간성 뇌증,"간염, 간경화 등 간 질환이 있거나 간을 통과하는 혈류에 장애가 일어나 혈류 내 암모니아 수치가 증가하여 뇌 기능에 영향을 주면 발생합니다."
3급 및 4급 간성 뇌증,"구취가 나는(또는 달콤한) 호흡, 수면장애, 정신착란, 빈번한 건망증, 성격 변화, 집중력 변화, 미세한 움직임이 서투름, 떨림 및 초조해하는 경향 등의 증상이 나타납니다."
3급 및 4급 간성 뇌증,"진단은 병력 확인, 신체 검진, 혈액 검사를 통해 이루어집니다."
3급 및 4급 간성 뇌증,"원인이 알려진 경우 소화기 출혈, 감염 등을 반드시 치료해야 합니다."
3도 동상,"피부 깊은 층(피하지방층)이 손상된 것으로, 1도 또는 2도 손상보다 더 심각한 상태입니다."
3도 동상,"극심한 추위 또는 장시간의 추위로 인해 발생합니다. 낮은 온도, 습기, 물기, 눈, 바람과 같은 요소는병변을 악화시킵니다."
3도 동상,"창백함, 감각 저하, 출혈성 수포, 회색 또는 검은색 피부, 관절의 통증과 뻣뻣한 증상이 나타납니다."
3도 동상,진단은 임상 병력 확인 및 신체 검사를 통해 이루어집니다.
3도 동상,"치료는 먼저 몸의 중심부를 데우고 점차적으로 따뜻한 물에 몸을 담가서 얼린 부위를 녹이는 방식으로 하며 진통제, 항염증제, 항혈소판제, 항응고제를 투여하고, 감염이 의심되는 경우 항생제를 사용합니다. 치료 효과가 없거나 괴사된 부위는 해당 동상 부위를 절단하는 수술을 고려하게 됩니다. 병원 치료가 필요합니다."
3도 방실차단,심방에서 심실로 전기전도가 완전히 중단되는 것을 특징으로 하는 일종의 느린 부정맥입니다. 심방과 심실 사이에 전기적 신호 중단이 발생합니다.
3도 방실차단,"여기에는 가역적 원인과 비가역적 원인이 있으며, 심장 전도 시스템에 영향을 미치는 이전의 경색 인한 심근섬유증과 절반 이상 연관 있습니다. 가장 흔한 가역적 원인으로는 약물 복용과 혈중 이온(주로 칼륨) 수치의 농도 변화입니다."
3도 방실차단,"아무런 증상 없이 발병할 수도 있지만 일반적으로 피로, 현기증, 호흡곤란, 흉통, 의식 상실 및 급성 심정지를 유발합니다."
3도 방실차단,"병력 확인, 신체 검진, 심전도 검사를 통해 진단합니다."
3도 방실차단,"치료 방법은 증상의 중증도, 환자의 활력 징후, 초기 치료에 대한 반응, 잠재적인 가역적 원인 파악에 따라 달라집니다. 심박수를 높이기 위해 약물을 사용하거나 심한 경우에는 임시형 심박조율기를 삽입할 수 있습니다. 영구형 심박조율기를 삽입하면 완전히 해결됩니다."
3도 방실차단 (소아청소년과),심방에서 심실로 전기전도가 완전히 중단되는 것을 특징으로 하는 일종의 느린 부정맥입니다. 심방과 심실 사이에 전기적 신호 중단이 발생합니다.
3도 방실차단 (소아청소년과),"소아기에 가장 흔한 원인은 유전적 심장 질환(선천성 심장 질환), 감염 및 심장 수술입니다. 루푸스를 앓고 있는 산모의 신생아에게서도 흔히 발생합니다."
3도 방실차단 (소아청소년과),"신생아의 경우 심장 박동이 느려집니다. 소아기에는 심장 박동이 느려지는 것 외에도 쇠약, 신체 활동 저하, 의식 상실 등의 다른 증상이 나타날 수 있습니다."
3도 방실차단 (소아청소년과),"진단은 병력 확인, 신체 검진, 심전도를 통해 이루어집니다."
3도 방실차단 (소아청소년과),심박수를 정상 범위에 가깝게 유지하기 위해 심장 박동을 가속화하는 약물을 투여하고 필요한 경우 심박조율기를 장착합니다.
3도 화상,화상은 위험 물질에 접촉하거나 노출되어 피부에 생긴 병변입니다.
3도 화상,화상의 정도는 화상을 입은 신체 부위와 피부에 영향을 미치는 깊이에 따라 결정됩니다. 3도 화상의 경우 피부 조직이 검게 그을린 것을 볼 수 있으며 통증을 전달하는 신경종말이 파괴되어 통증을 느끼지 못합니다.
3도 화상,"진단은 세부 병력, 신체 검사, 혈액검사, 소변검사, 심전도 및 의학적으로 필요한 경우 흉부 X-ray 검사를 통해 이루어집니다."
3도 화상,"통증 조절, 위 보호 치료가 필요하며, 파상풍 백신 접종 여부를 확인하고, 화상을 전문으로 치료를 하는 화상 전문 병원에서 치료하는 것이 좋습니다."
4도 동상,"4도 동상은 극심한 추위 또는 장기간의 추위로 인해 피부 뿐만 아니라 뼈, 근육 등 조직 깊은 층이 손상되는 것입니다. 코 및 귀와 같은 수족부에서 더 자주 발생합니다. 낮은 온도, 습기, 물기, 눈, 바람과 같은 요소는병변을 악화시킵니다."
4도 동상,"창백함, 감각 저하, 출혈성 수포, 회색 또는 검은색 피부, 관절의 통증 및 뻣뻣한 증상이 나타납니다."
4도 동상,"치료는 먼저 몸의 중심부를 데우고 점차적으로 따뜻한 물에 몸을 담가서 동상 부위에 열을 가해야 합니다. 증상이 심한 경우, 영구적인 손상 및 사망과 같은 결과를 초래할 수 있습니다."
A형 간염 바이러스로 인한 급성간염,A형 간염 바이러스로 인한 간의 염증입니다.
A형 간염 바이러스로 인한 급성간염,감염자에게서 대변을 통해 배출된 바이러스가 건강한 사람의 소화관에 도달하여 전염됩니다(대변-구강 전염). 사람과 사람 사이의 직접적인 접촉이나 오염된 음식 또는 음료 섭취를 통해 전염될 수 있습니다.
A형 간염 바이러스로 인한 급성간염,"약 한 달 정도의 잠복기를 거쳐 오심, 구토, 전신 병감, 발열, 복통 및 식욕부진과 같은 증상이 나타납니다. 이후 소변이 진해지고(담즙뇨), 회색변(무담즙증)이 나오며, 피부와 점막이 노랗게(황달) 변합니다. 피부 가려움증, 발진, 관절통 증상도 나타날 수 있습니다."
A형 간염 바이러스로 인한 급성간염,"진단은 문진, 신체 검진 및 혈액 내 A형 간염 바이러스에 대한 항체 검출을 통해 임상적으로 이루어집니다."
A형 간염 바이러스로 인한 급성간염,증상은 진통제와 해열제를 사용하여 치료하고 올바른 양의 수분을 공급해야 합니다. 감염을 예방하기 위해 위생을 철저하게 관리하는 것이 좋습니다.
A형 대동맥 박리 - 근위,대동맥의 가장 근위부 내벽이 찢어져 발생하는 심각한 질환입니다. 대동맥은 신체에서 가장 큰 혈관입니다.
A형 대동맥 박리 - 근위,"정확한 원인은 알려져 있지 않지만 동맥에 지방 플라크 축적, 동맥 고혈압, 흡연, 가슴 대동맥류 외상, 유전병, 이전의 심장 수술, 임신 및 혈관염과 같은 위험 요인이 있습니다."
A형 대동맥 박리 - 근위,"등 및 견갑골로 퍼질 수 있는 매우 심한 흉부 통증(종종 """"찢어지는 듯한"""" 통증으로 묘사됨)으로 증상이 나타납니다. 또한 목, 팔, 턱, 복부, 엉덩이와 같은 다른 신체 부위에도 통증이 나타날 수 있습니다. 기타 관련 증상으로는 불안, 앞으로 일어날 미래의 일들에 대해 눈앞이 캄캄해지는 느낌, 현기증, 실신, 메스꺼움 및 구토, 차갑고 축축한 피부, 빠르고 약한 맥박, 비대칭 맥박, 질식, 복통 및 삼키기 어려움 등이 있습니다."
A형 대동맥 박리 - 근위,진단은 유도 병력 확인 및 전체 신체 검사를 통해 이루어집니다. 가능한 비대칭을 검사하려면 신체 양쪽의 맥반을 촉진하고 평가하는 것이 중요합니다. 진단은 CT 스캔을 통해 확진됩니다.
A형 대동맥 박리 - 근위,확정 치료법은 긴급 수술입니다. 진통제와 항고혈압제를 사용하여 관련 통증 및 고혈압을 조절해야 합니다.
B형 간염 바이러스로 인한 급성간염,B형 간염 바이러스로 인한 간의 염증입니다.
B형 간염 바이러스로 인한 급성간염,오염된 혈액 또는 생물학적 체액과의 접촉을 통해 전염됩니다. 흔히 상처에서 나온 혈액을 통해 전염되거나 감염된 체액과 성적으로 접촉한 경우에 전염됩니다.
B형 간염 바이러스로 인한 급성간염,"처음에는 피로, 근육 통증, 미열, 두통, 복통, 오심, 설사 등 다른 바이러스 감염의 전형적인 증상이 나타납니다. 이후 피부와 점막의 노란색 색조(황달), 평소보다 더 진한 소변(담즙뇨), 회색변(무담즙증) 등의 특징적인 증상이 나타납니다."
B형 간염 바이러스로 인한 급성간염,임상적 의심을 바탕으로 문진과 신체 검진을 통해 진단이 이루어집니다. 이러한 진단은 혈액 검사(혈청 검사)를 통해 확진할 수 있습니다.
B형 간염 바이러스로 인한 급성간염,"증상은 진통제, 해열제, 항구토제를 사용하여 치료하고 올바른 양의 수분을 공급해야 합니다. 매우 심각하거나 만성 감염의 경우에는 항바이러스제로 치료할 수 있습니다."
B형 대동맥 박리 - 원위,하행 분절의 대동맥 내층이 파열하는 심각한 질병입니다. 대동맥은 신체에서 지름이 가장 큰 혈관입니다.
B형 대동맥 박리 - 원위,"박리의 정확한 원인은 알려져 있지 않지만 동맥 내 지방 플라크 축척, 고혈압, 흡연, 가슴 대동맥류 외상, 유전병, 이전의 심장 수술, 임신, 혈관염 등 박리의 발생에 기여하는 요인에 대한 보고가 있습니다."
B형 대동맥 박리 - 원위,"등 및 견갑골로 퍼질 수 있는 매우 심한 흉통(""""타는 듯하다""""고 표현하는 경우가 많음)으로 나타납니다. 복부, 엉덩이와 같은 다른 신체 부위에 통증이 있을 수 있습니다. 기타 동반 증상: 불안, 앞으로 일어날 미래의 일들에 대해 눈앞이 캄캄해지는 느낌, 현기증, 실신, 메스꺼움 및 구토, 차갑고 축축한 피부, 약한 빠른 맥박, 비대칭 맥박, 호흡곤란, 복통 및 삼키기 어려움."
B형 대동맥 박리 - 원위,진단은 자세한 임상 문진과 신체 검사를 통해 이루어집니다. 비대칭을 식별하려면 신체 양쪽의 맥박을 촉진하고 평가하는 것이 중요합니다. 진단은 CT 스캔을 통해 확진됩니다.
B형 대동맥 박리 - 원위,확정적 치료법은 응급수술입니다. 관련 통증과 고혈압을 위해 진통제와 혈압약으로 조절해야 합니다.
C-절개 상처 감염,제왕절개 수술로 인해 생긴 절개 부위 또는 수술 부위 주변의 피부에 감염이 발생하는 것입니다.
C-절개 상처 감염,"대부분의 수술 상처 감염은 제왕절개 후 처음 30일 동안 나타납니다. 당뇨병, 비만 또는 흡연과 같은 위험 요인이 있는 경우 감염 위험이 더 높습니다."
C-절개 상처 감염,수술 부위가 감염되면 해당 부위가 붉어지고 만지면 열감이 느껴지며 고름이 생길 수 있습니다. 또한 통증과 발열이 있을 수 있습니다.
C-절개 상처 감염,이전에 제왕절개로 출산했고 상처 부위를 살펴봤을 때 염증/감염 징후가 확인되면 진단을 내릴 수 있습니다.
C-절개 상처 감염,"치료는 감염 사실을 조기에 발견하여 진통제, 항염증제 또는 항생제를 투여하는 것으로 진행됩니다. 감염이 심한 경우 또는 치료의 반응이 좋지 않은 경우에는 다시 수술을 통해 감염된 부위에서 고름을 빼내야 할 수도 있습니다."
C형 간염 바이러스로 인한 급성간염,C형 간염 바이러스(HCV)에 의한 감염으로 발생하는 간의 염증입니다.
C형 간염 바이러스로 인한 급성간염,"바이러스에 감염된 혈액과의 접촉으로 인해 전염됩니다. 전염을 유발하는 요인으로는 피임을 하지 않은 성관계, 감염된 산모의 출산, 약물 투약 시 바늘 공유, 의료 물품의 잘못된 소독, 문신 시술소의 제대로 소독되지 않은 바늘, 검사되지 않은 혈액 수혈이 있습니다."
C형 간염 바이러스로 인한 급성간염,"감염된 많은 환자들은 초기에 아무런 증상도 보이지 않습니다. 오른쪽 상복부 통증, 체액 축적으로 인한 복부 부종, 회색변, 탁한 소변, 피로, 발열, 가려움, 피부의 노란색 색조(황달), 식욕부진, 오심, 구토 등 일반적으로 다른 바이러스 감염과 공통적인 증상과 바이러스 간염에 특정한 증상이 나타납니다. 최대 80%의 경우가 만성 감염으로 이어지며, 최대 30%의 경우가 간경변으로 이어집니다. B형 간염 바이러스, HIV로 인한 감염 또는 알코올 중독을 앓고 있는 경우에 발병 가능성이 더 높습니다."
C형 간염 바이러스로 인한 급성간염,"만성 단계의 증상으로는 피부와 막의 노란색 색조, 복수로 알려진 체액으로 인한 복부 둘레 증가, 의식 수준 저하 또는 뇌병증, 식도 정맥류로 인한 소화기 출혈 등이 있습니다."
C형 간염 바이러스로 인한 급성간염,"진단은 자세한 병력 확인, 신체 검진, 여러 검사를 통해 이루어집니다. 진단을 완료하려면 영상 검사를 시행해야 합니다."
C형 간염 바이러스로 인한 급성간염,내과적 치료는 효능이 입증된 항바이러스제를 기반으로 합니다.
HELLP 증후군,"적혈구 파괴, 혈소판 수 감소, 높은 수치의 간 효소를 겪는 임산부에게 나타나는 일련의 증상입니다. 일반적으로 임신 후기에 발생합니다."
HELLP 증후군,유발 원인은 알려져 있지 않습니다.
HELLP 증후군,"강한 권태감, 메스꺼움, 구토, 심한 복통 그리고 간 통증으로도 나타납니다. 일반적으로 임신성 고혈압은 진단 과정을 시작해야 하는 징후입니다."
HELLP 증후군,"진단은 임상 문진, 신체 검사, 혈액검사(전혈구 수, 간 및 콩팥 기능 검사, 전해질 및 응고 검사 등)를 통해 이루어집니다. 또한 주로 초음파를 통해 아기의 건강을 연구하기 위한 검사를 수행해야 합니다."
HELLP 증후군,드물게 발생하지만 매우 심각한 질병입니다. 따라서 의심되는 경우 산부인과 치료를 하는 의료 센터를 긴급히 방문해야 합니다. 치료는 분만을 유도하거나 제왕절개를 통해 분만하는 것을 기반으로 이루어집니다.
HIV 바이러스 감염,"HIV(사람면역결핍바이러스)는 면역체계를 공격하는 레트로바이러스입니다. 백혈구, 특히 감염과 싸우는 항체 생산을 담당하는 세포인 CD4 림프구를 파괴합니다. 이 바이러스 감염의 최종 단계를 에이즈라고 합니다. 이는 ‘후천성 면역결핍증후군’을 의미하며 모든 HIV 감염인이 이 증후군에 걸리는 것은 아닙니다."
HIV 바이러스 감염,"HIV 감염은 혈액, 정액, 질액, 쿠퍼액, 모유 등 감염자의 체액을 통해서만 발생합니다. 모기, 진드기 또는 기타 곤충에 의해서는 전염되지 않습니다. 대화, 악수, 재채기, 음식이나 음료수 공유, 화장실, 전화, 컴퓨터를 통해서도 전염되지 않습니다. 타액, 눈물 또는 땀으로 전염되지 않습니다."
HIV 바이러스 감염,HIV가 체내에 침투하면 세 단계가 진행됩니다. 첫 번째 증상은 몇 주 동안 독감에 걸린 것처럼 느껴질 수 있습니다. 혈액에 다량의 바이러스가 존재하므로 감염이 쉽게 퍼질 수 있습니다. 두 번째 단계에서는 환자가 에이즈로 진행되지 않고 수십 년 동안 무증상일 수 있습니다. 바이러스는 활성 상태로 남아 있지만 매우 낮은 수준으로 번식합니다. 세 번째 단계에서는 바이러스 부하가 높고 면역체계의 심각한 악화가 발생하여 기회감염 또는 신생물이 나타납니다.
HIV 바이러스 감염,혈액이나 타액에서 바이러스에 대한 항체를 검출하기 위해 분석이 실시됩니다. 신체가 HIV에 감염되면 바이러스와 싸우기 위해 항체를 생성하기 시작합니다. HIV 검출 검사에서는 바이러스 자체가 아니라 이러한 항체의 존재 여부를 검사합니다.
HIV 바이러스 감염,HIV 치료제 또는 항레트로바이러스제는 바이러스가 번식하는 것을 막아 바이러스 부하를 줄입니다. 생체 HIV 농도가 낮기 때문에 바이러스를 완전히 제거할 수는 없지만 면역체계가 회복할 가능성이 더 높습니다. 면역체계는 HIV와 관련된 감염 및 특정 유형의 암과 싸울 수 있을 만큼 충분히 강합니다. 치료는 HIV 감염 위험을 더욱 줄여줍니다.
HIV 바이러스 감염,HIV는 확실한 치료법이 존재하지 않기 때문에 만성질환입니다. 적절한 치료와 관리를 받으면 증상을 조절할 수 있습니다. 가능한 한 빠르게 질병을 관리할 수록 환자의 기대 수명이 점점 더 길어집니다.
PFAPA 증후군 (소아청소년과),"PFAPA 증후군(주기성발열, 아프타구내염, 인두염 및 경부림프절염) 또는 마샬증후군은 소아청소년과에서 재발열이나 주기성발열 상태에 해당하는 원인입니다."
PFAPA 증후군 (소아청소년과),이 증후군은 원인이 알려지지 않은 만성질환입니다. 유전적 요인은 원인이 아닐 수 있지만 일반적으로 유전성 증후군인 주기성발열과 함께 분류됩니다. 또한 보통 2~5세 사이에 발생하며 남아에게 더 자주 발현되는 경향이 높습니다.
PFAPA 증후군 (소아청소년과),"대략 월 1회의 빈도로 아동에게 3~6일 동안 발열이 지속됩니다. 이 증후군은 피로, 오한, 그리고 경우에 따라 복통과 두통뿐 아니라 발열, 인후통, 아구창, 림프절 종창을 유발합니다. 환아의 상태는 연속적인 증상 발현 사이에 건강하며 성장도 정상적입니다."
PFAPA 증후군 (소아청소년과),진단은 의학적 문진과 신체 검사를 통해 진행됩니다. 혈액검사를 시행하여 염증을 나타내는 물질의 농도(표지)를 측정합니다.
PFAPA 증후군 (소아청소년과),치료가 필요하지는 않지만 코르티코스테로이드를 투여하면 환아의 증상이 완화될 수 있습니다.
가성 통풍 - 연골석회증,칼슘 피로인산염 결정이 관절의 연골에 침착되는 질병입니다.
가성 통풍 - 연골석회증,"원인은 알려지지 않지만, 유전적인 원인과 관련되어 있습니다."
가성 통풍 - 연골석회증,"대부분의 경우 아무런 증상이 없지만, 열, 홍조 및 관절 부피 증가를 동반한 급성 관절염 증상이 특징입니다."
가성 통풍 - 연골석회증,자세한 병력 확인 및 관절 검사와 칼슘 피로인산염 결정의 존재가 확인되는 관절액 표본을 확보한 후에 이 질환으로 진단됩니다.
가성 통풍 - 연골석회증,"치료는 비스테로이드성 항염증제 약물, 코르티코스테로이드 또는 콜히친 투여를 기본으로 하고, 관절액을 미세한 바늘로 흡인하여 결정을 제거하는 외과치료를 추가로 시도할 수 있습니다."
가스 팽만,"장에 가스가 쌓여 발생하는 복부의 부종입니다. 이로 인해 트림, 위장 팽만 및 복통과 같은 증상이 나타납니다."
가스 팽만,식사 중에 삼킨 공기와 장에서 발효되는 음식에서 가스가 방출되는 것이 주요 원인입니다.
가스 팽만,진단은 임상적으로 이루어지며 치료는 증상을 완화하기 위해 약물과 함께 적절한 식습관 개선에 중점을 둡니다.
가스 팽만,일상생활에서 불편감을 느낄 수는 있지만 일반적으로는 심각하지 않은 상태입니다.
가와사키병 (소아청소년과),혈관염 또는 중소 혈관의 염증으로 여러 장기에 영향을 미칩니다. 일반적으로 모유 수유 중인 영아와 7세 미만의 어린이에게 발생합니다. 일본 사람과 한국 사람에게 자주 발생하는 질환입니다.
가와사키병 (소아청소년과),원인은 알려지지 않았지만 면역학적 원인과 관련되어 있습니다.
